id,title,article,category,picthum,updated_at
1,脱毛サロンとは,"脱毛サロンとは、いわゆる脱毛を専門に行うエステのこと。 普通のエステは、脱毛に加えて痩身やフェイシャルなど他のメニューも総合的にやっていますが、 脱毛サロンというのは、脱毛を専門にやっている（もしくは脱毛をメインとして他のメニューも少しある程度）のエステのことです。 <br>普通の大手エステでは、かなり丁寧にサービスがあります。 カウンセリングから個室で施術まで本当に丁寧にサービスがうけられるし、 時間もたっぷりあるし、優雅な感じです。（大手サロンで丁寧なところだとほんとに癒される感じなのです。） それが、脱毛サロンの場合もう少し短縮された感じ。<br>
 施術は個室ですが、案内から施術もかなり時間は短めです。（初来店のカウンセリングはけっこう時間かかりますが。）
 脱毛サロンは人気があり、混み合っているのでお客さんの入れ替わりも激しい感じですね。 （かといって別にサービスが悪いというわけではなく、もちろんマナーなどはちゃんとしています。） 大手エステは豪華な内装のところが多いですが、それにくらべると脱毛サロンはもっとシンプルなところもあります。 <br>
 また大手エステの場合、料金がはっきりしていないことが多く、実際にカウンセリングに行ってみないと料金がわからないことがあります。 脱毛方法もニードル脱毛を取り入れているところもあり、全体的に料金が高いです。 一方、脱毛サロンの場合、「ひざ下脱毛　６回　２万円」「ハイジニーナプラン5万円」のようにサイトにはっきり表示してあるし、 料金自体もかなり安いです！！ （特に最近競争が激しいので相当安くなってきています。） なので来店しやすいメリットがあります。 <br>
 脱毛サロンが今かなり人気を集めている背景には、料金を明確にして下げたことと、もう一つは勧誘しませんという姿勢を取ることで とにかくサロンに来る敷居を下げた ということにあります。 大手エステでも別にそんなに強引な勧誘があるわけではないのですが、勧誘をしません！ということを明確に言うことで行きやすくなりますよね。 実際に脱毛エステに行ってみると、ほとんど勧誘がないところが多いです。 （本当に一言も勧誘されないところと、ちょっとオススメ程度はあるところはありますが。） <br>
 料金が安い点や勧誘がないところなどは、若い人でも行きやすいとかなり人気です。 学割が利いたりもするので、学生さんも行きやすいのが脱毛サロンでしょう。 ",beginner,"",2016-07-03 09:28:19 UTC
2,脱毛サロンを上手に選ぼう,"ここ何年かの間で脱毛サロンは急速な広がりを見せ、巷にはさまざまなサロンがあふれています。脱毛したいと思っても、いざサロン選びとなると、一体どういう基準でどう選べばいいのかわからない……という人も少なくないはず。脱毛は大切な身体に手を加えることなので、失敗しないためにも、以下の点に注意して自分に合ったサロンを選ぶようにしましょう。
 施術の資格を持っているか
 これは、電気脱毛に限りますが、施術には資格が必要です。エステティシャンが専門学校を修了しているかどうか、それを証明するディプロマなどを有しているかどうかをチェックしましょう。
 この他の施術に関しては資格は必要ありませんが、これがサロンに対するクレームの原因ともなっているので、「NPO法人日本エステティック機構」が中心となり、自主的に資格制度の実施を進めているそうです。この資格があるかないかだけでも、信頼できるサロンかどうかの判断ができると思います。
 カウンセリング時の対応
 カウンセリング時のエステティシャンの対応で、そのサロンが信頼できるところかどうかが分かると言えます。受け答えが適切でないサロンは技術にも不安があるため、要チェックです。サロンによっては無料カウンセリングを実施しているところもあるので、まずはカウンセリングに赴き、施術を安心して任せられるかどうかを判断しましょう。
 衛生面と雰囲気
 どのような業種でもお店が衛生であることは大切ですが、特に人の身体に手を施すところは、衛生的であるかどうかがとても重要になります。サロン自体が衛生的でないと感じる場合は、施術機器の手入れも怠っている可能性があります。
 また、リラックスして施術を受けるには、サロンの雰囲気が自分に合っているかどうかも大切です。
 料金
 むだな出費を抑えるためにも、料金体系はしっかり把握しましょう。部位による金額のみでなく、その金額で何回まで施術ができるのかをしっかりチェックすることが大切です。また、サロンによっては施術やコース以外にも入会金や年会費、スキンケア用化粧品の料金などを請求するところがあります。施術料金にすべて含まれているのか、それ以外にも支払うものがあるのかどうかを把握した上で選ぶと、予想外の出費を抑えることができます。",beginner,"",2016-07-03 09:28:19 UTC
3,脱毛って痛いの？,脱毛は痛いのか,beginner,"",2016-07-04 23:43:49 UTC
4,医療脱毛 vs エステ脱毛,"脱毛サロンと、病院・美容外科・美容皮膚科などの医療脱毛クリニックの大きな違いは、脱毛機器の出力です。
 脱毛機器の出力はジュールという単位で測りますが、脱毛サロンで使用している光脱毛器は最高でも20ジュール以下、クリニックで使用している医療レーザー脱毛器は最大60ジュールまで出すことができます。
 脱毛サロンの光脱毛より、クリニックの医療レーザー脱毛の方がパワーが強いので、脱毛効果という点では、クリニックの方が脱毛効果が高いです。
 クリニックでの医療レーザー脱毛する場合、5～6回で脱毛完了する人が多いですが、サロンの光脱毛の場合、脱毛完了までに10回～18回は脱毛する必要があります。
 ただし、医療レーザー脱毛は効果が高い分、サロン脱毛よりもはるかに痛みは強いですし、お肌への負担も大きいです。
 また、脱毛サロンは全く効果が無いの？といわれると、そんなことはありません。
 脱毛サロンの光脱毛は、繰り返し照射することによって毛根にダメージを与えていく脱毛方法です。
 脱毛回数を重ねることで、徐々に毛が細く目立たなくなり、ムダ毛が薄くなっていくことを実感できます。",beginner,"",2016-07-03 09:28:19 UTC
5,脱毛前後のお手入れ,テスト,beginner,"",2016-07-03 09:28:19 UTC
6,シェービング代&キャンセル料について,テスト,beginner,"",2016-07-03 09:28:19 UTC
7,全身脱毛と部位脱毛の違い,テスト,beginner,"",2016-07-03 09:28:19 UTC
8,全身脱毛にかかる期間、費用は？,"全身脱毛が完了するまでにどのくらいの期間がかかるんでしょうか？
経験者の話を聞いてみました。
<h3 class=fingar>質問してみた</h3>教えてください。",something,"",2016-07-11 23:50:01 UTC
9,毛周期・脱毛の回数について知りたい,銀座カラーコラム参照,something,"",2016-07-07 01:05:05 UTC
10,施術までの事前準備は何をすればいいの？,銀座カラー,something,"",2016-07-07 01:05:48 UTC
11,毛穴が閉じて美肌になる？顔脱毛の魅力とは,銀座カラー,something,"",2016-07-07 01:06:40 UTC
12,脱毛に年齢制限があるって知っていますか？,銀座,something,"",2016-07-07 01:07:21 UTC
13,銀座カラー夏のキャンペーン,キャンペーン始まります。,campaign,"",2016-07-12 01:26:29 UTC
14,全身脱毛キャンペーン,キャンペーン,campaign,"",2016-07-12 01:27:06 UTC
15,サンプル記事,"テストテスト
<img src=""/assets/article/sample1.jpg"">",something,/assets/article/sample1.jpg,2016-07-12 06:14:37 UTC
16,テスト記事,テスト記事本文,something,/assets/article/sample1.jpg,2016-07-12 06:14:37 UTC
